reward,difficulty,duration,offer_id,offer_type,channel_web,channel_mobile,channel_email,channel_social,completed_percentage
2,10,10,fafdcd668e3743c1bb461111dcafc2a4,DISCOUNT,1,1,1,1,0.6986
3,7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,DISCOUNT,1,1,1,1,0.6669
5,5,5,f19421c1d4aa40978ebb69ca19b0e20d,BOGO,1,1,1,1,0.5497
10,10,5,4d5c57ea9a6940dd891ad53e9dbe8da0,BOGO,1,1,1,1,0.4453
10,10,7,ae264e3637204a6fb9bb56bc8210ddfd,BOGO,0,1,1,1,0.4404
5,5,7,9b98b8c7a33c4b65b9aebfe6a799e6d9,BOGO,1,1,1,0,0.3366
2,10,7,2906b810c7d4411798c6938adc9daaa5,DISCOUNT,1,1,1,0,0.3328
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,DISCOUNT,1,0,1,0,0.1931
0,0,4,3f207df678b143eea3cee63160fa8bed,INFORMATIONAL,1,1,1,0,0.0
0,0,3,5a8bc65990b245e5a138643cd4eb9837,INFORMATIONAL,0,1,1,1,0.0
